Access see Market access, EconomicOperand
market-based financial intermediation, EconomicOperand
market concentration and competition effects, EconomicOperand
market contestability,, EconomicOperand
market discipline,,,,, EconomicOperand
corporate governance, EconomicOperand
and deposit insurance,, EconomicOperand
direct influence,,,, EconomicOperand
distress predictions, EconomicOperand
efficient market hypothesis (EMH),, EconomicOperand
evidence, EconomicOperand
ex ante influence, EconomicOperand
ex post influence, EconomicOperand
and the GFC, EconomicOperand
indirect influence,,,, EconomicOperand
market signals and risk, EconomicOperand
monitoring,, EconomicOperand
obstacles to, EconomicOperand
performance in relation to, EconomicOperand
and risk, EconomicOperand
sources of prediction problems, EconomicOperand
subordinate notes and/or bonds (SND),,,,, EconomicOperand
and TBTF, EconomicOperand
theory of, EconomicOperand
market power,, EconomicOperand
market risk see systemic/market risk, EconomicOperand
market structure:, EconomicOperand
and conduct , EconomicOperand
and regulation, EconomicOperand
market studies, EconomicOperand
market value frontier, EconomicOperand
markets:, EconomicOperand
banks and industry dynamics in product, EconomicOperand
interplay between, EconomicOperand
Markowitz, Harry, EconomicOperand
Martin, John, EconomicOperand
Martin’s Bank, EconomicOperand
Martinez-Peria, Maria Soledad,, EconomicOperand
MasterCard,,, EconomicOperand
maturities transformation,,, EconomicOperand
Mauritius,,, EconomicOperand
MBSs see mortgage-backed securities, EconomicOperand
McFadden Act US,,, EconomicOperand
Mcorp case, EconomicOperand
mechanics liens, EconomicOperand
mercy norm, EconomicOperand
mergers and acquisitions (M&A), EconomicOperand
and competitiveness, EconomicOperand
and deposit rates, EconomicOperand
diversifying, EconomicOperand
EU,, EconomicOperand
and loan rates,, EconomicOperand
market-extension, EconomicOperand
mega, EconomicOperand
US,, EconomicOperand
see also international bank mergers, EconomicOperand
Meridien BIAO Bank, EconomicOperand
Merrill Lynchn,,,, EconomicOperand
MERS see Mortgage Electronic Registration System, EconomicOperand
Merton, R. C., EconomicOperand
Merton and Merton-type risk models,,,,, EconomicOperand
Mester, Loretta J.,,,, EconomicOperand
metallic standards, EconomicOperand
Mexico,,,,,, , EconomicOperand
and Basel III , EconomicOperand
public credit registers, EconomicOperand
reverse factoring, EconomicOperand
Tequila crisis,,,, EconomicOperand
textile industry, EconomicOperand
mezzanine tranches, EconomicOperand
microcredit,, EconomicOperand
microfinance,, EconomicOperand
Hyderabad study, EconomicOperand
role in Africa, Tab..Fig.. Fig.. , EconomicOperand
Microfinance Information eXchange (MIX), EconomicOperand
Middle East,,, EconomicOperand
Mitsubishi UFJ, EconomicOperand
Mitsubishi-Tokyo UFJ Bank, EconomicOperand
Mitsui-Sumitomo, EconomicOperand
Mizuho Bank,,, EconomicOperand
Mizuho Corporate Bank, EconomicOperand
MMDAs see money market deposit accounts, EconomicOperand
MMFs see money market funds, EconomicOperand
MMMFs see money market mutual funds, EconomicOperand
mobile money transfer (m-transfer), EconomicOperand
mobile phone payments, EconomicOperand
Mojon, Benoit,, EconomicOperand
Molyneux, Philip,, EconomicOperand
monetary aggregates,, EconomicOperand
monetary policy, EconomicOperand
bank lending channel, EconomicOperand
and banking risk, EconomicOperand
broad credit channel, EconomicOperand
and central banks, EconomicOperand
challenges of a renewed doctrine, EconomicOperand
conduct of, EconomicOperand
and credit channels, EconomicOperand
doctrines, EconomicOperand
effect on bank loan supply, EconomicOperand
effect of payment systems, EconomicOperand
effects of securitization and, EconomicOperand
and the GFC, EconomicOperand
instruments, EconomicOperand
interest rate, or money, view, EconomicOperand
non-US evidence on bank lending and the transmission of, EconomicOperand
risk management approach, EconomicOperand
role of bank lending, EconomicOperand
transmission by banks, EconomicOperand
monetary systems, fiat,, EconomicOperand
money, opposing theoretical conceptions, EconomicOperand
money creation instruments, EconomicOperand
money laundering, EconomicOperand
money market deposit accounts (MMDAs), EconomicOperand
money market funds (MMFs),, EconomicOperand
money market mutual funds (MMMFs),,,, EconomicOperand
money supply:, EconomicOperand
and convertibility, EconomicOperand
shocks, EconomicOperand
theory, EconomicOperand
monoliners, EconomicOperand
Moody’s Investor Servicesn,,,, EconomicOperand
Moody’s Magazine, EconomicOperand
moral hazard,,,,,,,,,,,,,,,,, EconomicOperand
and asymmetric information,,, EconomicOperand
and deposit insurance,,,, EconomicOperand
and excessive lending, EconomicOperand
and optimal capital regulation, EconomicOperand
and safety nets,,,, EconomicOperand
and systemic risk in banking, EconomicOperand
and ‘TBTF’ institutions,,, EconomicOperand
Morgan, J. P., EconomicOperand
Morgan Stanley,,, EconomicOperand
Morrison, Alan D.,, EconomicOperand
mortgage-backed securities (MBSs)n,,,,,,,,,,,,,, EconomicOperand
agency securities, EconomicOperand
and the GFC,, EconomicOperand
private-label,,, EconomicOperand
Mortgage Bankers Association National Delinquency Survey, US, EconomicOperand
Mortgage Electronic Registration System (MERS), EconomicOperand
mortgage finance companies, EconomicOperand
mortgage interest rates, Fig.. , EconomicOperand
tax codes, EconomicOperand
mortgages, residential, EconomicOperand
adjustable rate (ARM),,, EconomicOperand
affordable, EconomicOperand
amortization,,, EconomicOperand
appraisals, EconomicOperand
back end ratio, EconomicOperand
balloon payments, EconomicOperand
bank capital regulation, EconomicOperand
and Basel I, EconomicOperand
borrower solvency theory of default, EconomicOperand
competing hazards model, EconomicOperand
conduit sales, EconomicOperand
contract features, Fig.. , EconomicOperand
convexity, Fig.. , EconomicOperand
credit-exposure decision, EconomicOperand
credit scores Fig.. , EconomicOperand
FICO score, EconomicOperand
fixed rate (FRM),,, EconomicOperand
as financial assets, Fig.. Fig.. , EconomicOperand
and financial stability,Fig.. , EconomicOperand
foreclosure,,,, EconomicOperand
hybrid, EconomicOperand
increase in credit supply, EconomicOperand
Japan, EconomicOperand
jumbo, EconomicOperand
loan to value ratio (LTV), EconomicOperand
and macroprudential regulation,, EconomicOperand
modifications, EconomicOperand
mortgages defaults,, EconomicOperand
note rates, EconomicOperand
payments, EconomicOperand
points, EconomicOperand
qualified residential, EconomicOperand
refinance or default decisions, EconomicOperand
refinancing incentive, EconomicOperand
servicing, EconomicOperand
subprime,,,,,,,,,,, , EconomicOperand
US subsidization, EconomicOperand
valuing, EconomicOperand
variable maturity, EconomicOperand
variable rate, EconomicOperand
M-Pesa, EconomicOperand
multilateral clearing systems, EconomicOperand
multimarket banks:, EconomicOperand
deposit markets, EconomicOperand
loan market, EconomicOperand
multiple bank lending, EconomicOperand
multiple bank relationships, EconomicOperand
multiple equilibria,,,,,,,,, EconomicOperand
mutual funds, see also MMMFs, EconomicOperand
Nafin Development Bank, Mexico, EconomicOperand
Namibia, EconomicOperand
NASDAQ bubble, EconomicOperand
National Bank of Commerce, Tanzania, EconomicOperand
National Bank of Yugoslavia (NBY), EconomicOperand
National Banking Acts/, US,,,, EconomicOperand
National City Bank,, EconomicOperand
National City Company,, EconomicOperand
National Microfinance Bank, Tanzania, EconomicOperand
Nationally Recognized Statistical Rating Organization (NRSRO), EconomicOperand
NCOF see net cash outflows, EconomicOperand
neo-Keynesian model, EconomicOperand
net cash outflows (NCOF), EconomicOperand
net negative positions, EconomicOperand
net operating revenue, EconomicOperand
net regulatory benefit/burden (NRB),, EconomicOperand
net stable funding ratio (NSFR),, EconomicOperand
Netherlands:, EconomicOperand
Banking Code, EconomicOperand
banking crisiss), EconomicOperand
network theory, EconomicOperand
New Century Financial Corporation,,, EconomicOperand
New Deal legislation, US, EconomicOperand
New York Clearing House Association, EconomicOperand
New York Clearing House Electronic Payments Network, EconomicOperand
New York State Department of Financial Services , EconomicOperand
New York State Fund, EconomicOperand
NGOs (non-government organizations), and African microfinance, EconomicOperand
Niger, EconomicOperand
Nigeria,,, EconomicOperand
 /, EconomicOperand
and financial market stability, EconomicOperand
LOLR and liquidity shock case study, EconomicOperand
Nippon Credit Bank,, EconomicOperand
Nolle, Daniel E.,, EconomicOperand
Nomura Holdings company, Japan, EconomicOperand
non-escalation norm, EconomicOperand
non-installment credit, EconomicOperand
non-interest income,, Fig..,,, EconomicOperand
non-performing loans,,,,,,, , EconomicOperand
Nordea,, EconomicOperand
North American Free Trade Agreement (NAFTA),, EconomicOperand
Northern Rock,,,,,,,,,n,,, EconomicOperand
Norway:, EconomicOperand
local loan markets, EconomicOperand
payment data, EconomicOperand
payment services, EconomicOperand
note rate, EconomicOperand
NRB see net regulatory benefit, EconomicOperand
NSFR see net stable funding ratio, EconomicOperand
OCC see Office of the Comptroller of the Currency, EconomicOperand
O’Connor derivatives trading partnershipn, EconomicOperand
Office of the Comptroller of the Currency (OCC), US,,,, EconomicOperand
offshore banking, EconomicOperand
Ohio fund failure, EconomicOperand
OLA see Orderly Liquidation Authority, EconomicOperand
OMOs see open market operations, EconomicOperand
Ongena, Steven, , EconomicOperand
online banking,, EconomicOperand
open market operations (OMO),,,, EconomicOperand
operational risk,,, EconomicOperand
and the GFC,, EconomicOperand
and VaR models, EconomicOperand
Orange Revolution , EconomicOperand
Orderly Liquidation Authority (OLA), US,,, EconomicOperand
organizational form:, EconomicOperand
financial innovations, EconomicOperand
performance in relation to, EconomicOperand
originate-to-distribute (OTD) model,,,,, EconomicOperand
OTH compared, EconomicOperand
originate-to-hold (OTH) model,,, , EconomicOperand
OTD compared, EconomicOperand
OTS see Office of Thrift Supervision, US, EconomicOperand
out-of-market borrowing, EconomicOperand
overdraft fees, EconomicOperand
overnight interbank rates and the GFC, EconomicOperand
Padoa-Schioppa, Tommaso, EconomicOperand
Pakistan,,,,,,,,, EconomicOperand
panic and contagion, EconomicOperand
Panzar-Rosse approach, EconomicOperand
Parigi, Bruno M.,, , EconomicOperand
Paraguay,,, EconomicOperand
payment rules, EconomicOperand
payment theory, EconomicOperand
payments and payment systems, Tab.. , EconomicOperand
activities of non-banks, EconomicOperand
automated clearing houses, EconomicOperand
availability of data, EconomicOperand
card pricing, EconomicOperand
centralization, EconomicOperand
continuous linked settlement (CLS) banks, EconomicOperand
costs, EconomicOperand
current LPVS issues of wholesale payments, EconomicOperand
differences in structure,Tab.. , EconomicOperand
direct vs. indirect pricing, EconomicOperand
effect on monetary policy, EconomicOperand
electronic,, EconomicOperand
financial inclusion and the ‘unbanked’, EconomicOperand
fraud, EconomicOperand
the future, EconomicOperand
instrument development, EconomicOperand
liquidity and other risks of wholesale payments, EconomicOperand
liquidity savings mechanisms and wholesale payments, EconomicOperand
payment theory, EconomicOperand
production structure, EconomicOperand
systems for wholesale payments, EconomicOperand
retail payments, Tab.. , EconomicOperand
systemic risk in wholesale payments, EconomicOperand
wholesale payments, EconomicOperand
wire transfers, EconomicOperand
payroll cards, EconomicOperand
PCA see prompt corrective action, EconomicOperand
PDCF see primary dealer credit facility, EconomicOperand
PE see private equity, EconomicOperand
Pecora, Ferdinand, EconomicOperand
Pecora Commission, US,, EconomicOperand
Peek, Joe,, EconomicOperand
Penn Central,, EconomicOperand
People’s Bank of Chinan, EconomicOperand
Péreire Brothers, EconomicOperand
perfect competition,, EconomicOperand
perfect contestability, EconomicOperand
Peru, EconomicOperand
Peydró-Alcalde, José-Luis,, EconomicOperand
Philippines,,,,, EconomicOperand
Pinochet, General Augusto, EconomicOperand
Pittsburgh Plate Glass, EconomicOperand
PKO (zloty savings bank), Poland, EconomicOperand
Poland,,,,,,,,,, EconomicOperand
Ponzi finance, EconomicOperand
portfolio theory,,,,, EconomicOperand
portfolios:, EconomicOperand
allocationFig.., EconomicOperand
asymptotically fine-grained,, EconomicOperand
diversification, EconomicOperand
holdings connections,, EconomicOperand
return volatility, EconomicOperand
risk,,n,,,,,,,, EconomicOperand
skewed, EconomicOperand
VaR, EconomicOperand
Portugal,, EconomicOperand
bailout, EconomicOperand
collusive behaviour among banks, EconomicOperand
number of bank branches, EconomicOperand
sovereign debt crisis,,,, EconomicOperand
Postal Services Agency, Japan, EconomicOperand
pound sterling,, EconomicOperand
predatory lending, EconomicOperand
predatory lending laws,, EconomicOperand
prepaid cards, EconomicOperand
price rationing, EconomicOperand
primary dealer credit facility (PDCF),, EconomicOperand
Prince, Charles (Chuck),, EconomicOperand
prioritized bank debt, EconomicOperand
private empowerment view of financial regulation, EconomicOperand
private equity (PE),, EconomicOperand
private equity (PE) firms,,,, EconomicOperand
privatization,,,, EconomicOperand
Latin America,,,,, , EconomicOperand
transition countries,,,, EconomicOperand
probability of default (PD) ratings,, EconomicOperand
product innovations, EconomicOperand
product market diversification, EconomicOperand
production process innovations, EconomicOperand
prompt corrective action (PCA),,,,n,,, EconomicOperand
proprietary trading, EconomicOperand
regulations for,,,,, EconomicOperand
Prudential Financial, EconomicOperand
public credit registries, EconomicOperand
Pujo Committee US, EconomicOperand
qualified mortgage (QM), EconomicOperand
qualitative asset transformation,, EconomicOperand
quantitative easing , EconomicOperand
quantity theory of money, EconomicOperand
Raiffeisen Bank, Austria,, EconomicOperand
Rajan (Raghuram),,,, EconomicOperand
RAROC risk measurement model, EconomicOperand
rate of return,, EconomicOperand
rating agencies see credit rating agencies, EconomicOperand
rating triggers, EconomicOperand
Rational Expectation School, EconomicOperand
RBCR see risk-based capital ratio, EconomicOperand
RBI see Reserve Bank of India, EconomicOperand
RBS see Royal Bank of Scotland, EconomicOperand
RCA see regulatory capital arbitrage, EconomicOperand
real estate investment trusts (REITS),, EconomicOperand
real estate mortgage investment conduits (REMICs), EconomicOperand
Real Plan Brazil, EconomicOperand
real time gross settlement (RTGS) systems,,,,, EconomicOperand
Reconstruction Finance Corporation (RFC), EconomicOperand
Recovery and Resolution Directive EU, EconomicOperand
Reding, Viviane, EconomicOperand
regulation,,, EconomicOperand
accountability,, EconomicOperand
Africa, EconomicOperand
bank capital, EconomicOperand
and bank conduct, EconomicOperand
and bank strategy, EconomicOperand
as barrier to international bank mergers, EconomicOperand
Basel accords and risk-based bank capital requirements, EconomicOperand
benefits, EconomicOperand
and competition, EconomicOperand
conflicts, EconomicOperand
of consumer lending, EconomicOperand
cross border, EU example, EconomicOperand
deposit insurance monitoring,,, EconomicOperand
dynamic, EconomicOperand
enforcement,, EconomicOperand
ethical perspective, EconomicOperand
EU, EconomicOperand
exploitive, EconomicOperand
and financial innovation, EconomicOperand
and financial stability and development, EconomicOperand
Hegelian model, EconomicOperand
interventionist approach, EconomicOperand
Japan, EconomicOperand
laissez-faire approach, EconomicOperand
and liquidity,,,, EconomicOperand
loopholes,, EconomicOperand
macroprudential,,, EconomicOperand
and market power,, EconomicOperand
and market structure, EconomicOperand
non-discriminatory, EconomicOperand
private empowerment view, EconomicOperand
reform, and G-SIBS, EconomicOperand
reforms, EconomicOperand
responses to GFC,,,,,,,, EconomicOperand
restrictive government, US, EconomicOperand
seen as service, EconomicOperand
seen as tax on bank income, EconomicOperand
SIBs, cross-county comparisons,, EconomicOperand
of universal banks, EconomicOperand
US (pre-s), EconomicOperand
and US interstate banking, EconomicOperand
voluntary acceptance, EconomicOperand
see also market discipline, EconomicOperand
regulation-induced crisis, EconomicOperand
dialectics of, Fig.. , EconomicOperand
five stages of Fig.. , EconomicOperand
Regulation Q, US,,,,, EconomicOperand
regulators’ attributes, EconomicOperand
regulatory capital arbitrage (RCA)n, EconomicOperand
regulatory competition,, EconomicOperand
regulatory constraints, G-SIBS, EconomicOperand
regulatory culture, EconomicOperand
regulatory dialectic, EconomicOperand
regulatory subsidies, EconomicOperand
REITS see real estate investment trusts, EconomicOperand
relationship banking,,,,,,,,,, EconomicOperand
bank-borrower relationship ‘life span’,, EconomicOperand
and competition, EconomicOperand
Japan, EconomicOperand
soft-budget-constraint problem, EconomicOperand
relative market power hypothesis, EconomicOperand
REMICs see real estate mortgage investment conduits, EconomicOperand
repurchase agreements (repos),n,,,,,,,, EconomicOperand
reputational capital,,,, EconomicOperand
required amount of stable funding (RSF), EconomicOperand
Reserve Bank of Australia,, EconomicOperand
Reserve Bank of India (RBI),,, EconomicOperand
Reserve Banks, EconomicOperand
Reserve Capital, EconomicOperand
Reserve Primary Fund, EconomicOperand
reserve requirements,, EconomicOperand
residential-mortgage-backed securities (RMBSs),, EconomicOperand
Resolution and Collection Bank, Japan, EconomicOperand
Resona Bank, Japan, EconomicOperand
resolution regimes,, EconomicOperand
resurrection risk-taking, EconomicOperand
retail payments, Tab.. , EconomicOperand
return efficiency/inefficiency, EconomicOperand
return on assets (ROA),, EconomicOperand
return on equity (ROE), EconomicOperand
reverse factoring, EconomicOperand
Review of Network Economics, EconomicOperand
revolversn, EconomicOperand
RFC see Reconstruction Finance Corporation, EconomicOperand
Rhineland investment vehicle, EconomicOperand
Rhode Island fund failure , EconomicOperand
Riegle-Neal Interstate Banking and Branching Efficiency Act US,, EconomicOperand
Rijecka Banka, EconomicOperand
risk, EconomicOperand
advanced measurement approach (AMA), EconomicOperand
asset-value correlation, EconomicOperand
bank capital regulations, EconomicOperand
and competition, EconomicOperand
and diversification, EconomicOperand
effects of cross-border bank acquisitions, EconomicOperand
exposure at default (EAD),, EconomicOperand
extreme-value theory, EconomicOperand
and firewalls in the financial sector, EconomicOperand
idiosyncratic,,,,, EconomicOperand
Incremental Risk Charge (IRC), EconomicOperand
interest rate, EconomicOperand
intertemporal smoothing by banks, EconomicOperand
IRB approaches, theoretical foundations, EconomicOperand
liquidity,,,, EconomicOperand
and market discipline, EconomicOperand
and market signals, EconomicOperand
in a post-crisis world , EconomicOperand
risk and return framework, Fig.., EconomicOperand
risk-return trade-offs, EconomicOperand
role of banks in sharing, EconomicOperand
and securitization, EconomicOperand
withdrawal,,,, EconomicOperand
see also credit risk; insolvency risk; liquidity risk; systemic/market risk, EconomicOperand
risk-based capital ratio (RBCR),, EconomicOperand
risk management,,,,,, EconomicOperand
and credit default swaps, EconomicOperand
credit derivatives market,, Fig.. , EconomicOperand
and diversification, EconomicOperand
financial futures and forwards, EconomicOperand
financial options, EconomicOperand
and the GFC,, EconomicOperand
and hedging transactions, EconomicOperand
inside and outside the board of directors, EconomicOperand
and interest rate fluctuations, EconomicOperand
managers’ adversity, EconomicOperand
marketability, EconomicOperand
operational,,,, EconomicOperand
parameters,, EconomicOperand
of payment systems, EconomicOperand
probability at default (PD) rating,, EconomicOperand
retention rules, EconomicOperand
risk-weight formula, EconomicOperand
stress-testing,, EconomicOperand
swaps, EconomicOperand
techniques, EconomicOperand
see also market discipline, EconomicOperand
Risk Management Index (RMI), EconomicOperand
risk measurement,, EconomicOperand
Comprehensive Risk Measure (CRM), EconomicOperand
VaR models,,,, EconomicOperand
RiskMetrics,, EconomicOperand
Rule model, EconomicOperand
risk-taking, EconomicOperand
and bank board diversity, EconomicOperand
and bank ownership, EconomicOperand
CEO incentives, EconomicOperand
conflicting incentives for, EconomicOperand
endogeneity,,,,,,, EconomicOperand
and financial crises,, EconomicOperand
and forms of compensation, EconomicOperand
and government ownership of banks, EconomicOperand
resurrection, EconomicOperand
and safety nets,,, EconomicOperand
shareholder-aligned boards, EconomicOperand
shareholders vs creditors,,, EconomicOperand
and sovereign stress, EconomicOperand
and universal banks, EconomicOperand
risk-weighted assets (RWA), and Basel Accords,, EconomicOperand
RMBS see residential mortgage backed securities, EconomicOperand
ROA see return on assets, EconomicOperand
robo-signer scandal, US, EconomicOperand
ROE see return on equity, EconomicOperand
rogue traders, EconomicOperand
Romania,,,,,,, EconomicOperand
Roosevelt, President Franklin D.,, EconomicOperand
Rosengren, Eric S.,, EconomicOperand
Rothschilds, EconomicOperand
Royal Bank of Scotland (RBS),,,, EconomicOperand
RSF see required amount of stable funding, EconomicOperand
RTGS see real time gross settlement, EconomicOperand
runs see bank runs, EconomicOperand
Russia,,,,,,,,, EconomicOperand
banking crises, EconomicOperand
inth century, EconomicOperand
RWAs see risk-weighted assets, EconomicOperand
Salomon Brothers,, EconomicOperand
Santandern,,, EconomicOperand
Sapriza, Horacio,, EconomicOperand
Sarkisyan, Anna,, EconomicOperand
Saunders, Anthony,, EconomicOperand
Savings and Loans (S&L) crisiss), US, EconomicOperand
Savings and Loans institutions, US, EconomicOperand
SBCS see small business credit scoring, EconomicOperand
Sberbank, Russia, EconomicOperand
SBI see State Bank of India, EconomicOperand
Scandinavia,, EconomicOperand
SCF see Survey of Consumer Finance, EconomicOperand
Schumpeter, Joseph,,,,, EconomicOperand
Schwartz, Anna, EconomicOperand
scope economies see economies of scope, EconomicOperand
scope diseconomies see diseconomies of scope, EconomicOperand
SCP see structure-conduct performance, EconomicOperand
Second Bank of the United States, EconomicOperand
Second European Banking Directive,,, EconomicOperand
sectionsubsidiaries see bank holding companies, EconomicOperand
securities:, EconomicOperand
agency securities, EconomicOperand
liquidity, EconomicOperand
low quality,, EconomicOperand
private label,,,,,, EconomicOperand
underwriting, EconomicOperand
see also mortgage-backed securities (MBSs), EconomicOperand
securities affiliates, US, EconomicOperand
Securities Investor Protection Corporation (SIPC) proceeding, EconomicOperand
securitization,,,,,,,,,,,,, EconomicOperand
and adverse selection, EconomicOperand
allocation of cash flows, EconomicOperand
asset, EconomicOperand
asset selection, EconomicOperand
benefits and risks, EconomicOperand
creation of an SPV, EconomicOperand
crisis, US, EconomicOperand
dark side, EconomicOperand
definition, EconomicOperand
economic importance, EconomicOperand
European market, Fig.. Fig.. , EconomicOperand
evolution, EconomicOperand
growth,, EconomicOperand
and interest retention, EconomicOperand
issuance of asset-backed securities, EconomicOperand
as ‘market for lemons’, EconomicOperand
mechanics of, EconomicOperand
in a post-crisis world, EconomicOperand
regulatory reforms and the future of, EconomicOperand
role of credit rating agencies, EconomicOperand
second wave, EconomicOperand
simplified transaction Fig.. , EconomicOperand
structured, EconomicOperand
structuring the transaction, EconomicOperand
vs. traditional banking, Fig.. , EconomicOperand
transfer of assets, EconomicOperand
securitized lending, EconomicOperand
Security and Exchange Commission (SEC),, EconomicOperand
SEE see South Eastern Europe, EconomicOperand
SEIR see structured early intervention and resolution, EconomicOperand
sequential service constraintn,,, EconomicOperand
Serbia,,,, EconomicOperand
serfdom, EconomicOperand
shadow banking,,,,,, EconomicOperand
agency problems, EconomicOperand
and capital requirements, EconomicOperand
China, EconomicOperand
defining and measuring, EconomicOperand
funding fragilities, EconomicOperand
funding over time, Fig.. , EconomicOperand
innovation in composition of money, EconomicOperand
leverage cycles, EconomicOperand
regulatory arbitrage,, EconomicOperand
role of banks, EconomicOperand
specialization, EconomicOperand
and systemic risk, EconomicOperand
US, EconomicOperand
shadow bank monitoringFig.. Fig.. Fig..Fig.. Fig.. Fig.. Tab.. , EconomicOperand
agency mortgage REITS, EconomicOperand
China, EconomicOperand
leveraged finance, EconomicOperand
money market funds (MMMFs), EconomicOperand
reinsurance , EconomicOperand
risks , EconomicOperand
tri-party repo, EconomicOperand
Shadow Financial Regulatory Committee, US, EconomicOperand
shareholder-oriented governance,,, EconomicOperand
shareholders, EconomicOperand
vs. creditors, EconomicOperand
governments as, EconomicOperand
vs. managers, EconomicOperand
risk-taking,,,, EconomicOperand
Sharpe, Bill, EconomicOperand
Sharpe ratio model, EconomicOperand
Shinsei Bank, Japan, EconomicOperand
Shoko Chukin Bank, Japan, EconomicOperand
SIBS see systemically important banks, EconomicOperand
SIFIs see systematically important financial institutions, EconomicOperand
Singapore,,, EconomicOperand
seigniorage revenues, EconomicOperand
Single Euro Payment Area initiative,, EconomicOperand
Single Supervisory Mechanism (SSM), EU,,, EconomicOperand
SIVs see structured investment vehicles, EconomicOperand
skin in the game,,,, EconomicOperand
Slovakia,,,,, EconomicOperand
Slovenia,,,, EconomicOperand
small and medium enterprises (SMEs), EconomicOperand
loan rates, EconomicOperand
small bank failure, EconomicOperand
small business credit scoring (SBCS),, EconomicOperand
Small Business Jobs Act US, EconomicOperand
small business lending , EconomicOperand
asset-based, EconomicOperand
and bank consolidation,,, EconomicOperand
bank funding, EconomicOperand
credit availability,, EconomicOperand
credit scoring,,, EconomicOperand
financial statement lending, EconomicOperand
fixed-asset lending,, EconomicOperand
hard information,,,, EconomicOperand
judgement lending,, EconomicOperand
large vs. small banks,,, EconomicOperand
lending distance,,, EconomicOperand
non-depository institutions,, EconomicOperand
relationship lending,,,, EconomicOperand
research,, , EconomicOperand
single/multi-market banksc, EconomicOperand
soft information,,,,, EconomicOperand
and technology,,,, EconomicOperand
Small Business Lending Fund (SBLF), US, EconomicOperand
SMEs see small and medium enterprises, EconomicOperand
Smith, Adam, EconomicOperand
SOCBs see state-owned commercial banks, EconomicOperand
Societas Europaea, EconomicOperand
Société Générale,,,, EconomicOperand
soft-budget constraint, EconomicOperand
solvency:, EconomicOperand
and bonus payments, EconomicOperand
and recapitalization, EconomicOperand
shocks,,,,,, EconomicOperand
South Africa,,, EconomicOperand
South African Standard Bank, EconomicOperand
South Eastern Europe (SEE),,,,,,,, EconomicOperand
South Korea, EconomicOperand
South Sea Bubble, EconomicOperand
South Sudan, EconomicOperand
sovereign debt crises,,,,,, Fig.. Fig.. Fig..,,, EconomicOperand
and bank financial strength rating (BFSR), EconomicOperand
breaking the feedback loop, EconomicOperand
cost and availability of funding, EconomicOperand
and credit default swaps (CDSs),, EconomicOperand
and creditworthiness,, EconomicOperand
devaluations and defaults, EconomicOperand
developing countries and debt default, EconomicOperand
and economic downturns, EconomicOperand
effect on banking activity, EconomicOperand
feedback loops,,, EconomicOperand
foreign currency liabilities, EconomicOperand
impact on bank funding costs, EconomicOperand
interbank lending, EconomicOperand
and lending, EconomicOperand
liquidity pressures, EconomicOperand
political risk and defaults, EconomicOperand
and protected banks, EconomicOperand
as a result of banking crises, EconomicOperand
and risk-taking, EconomicOperand
safety nets,, EconomicOperand
sovereign rating changes,, EconomicOperand
state support, EconomicOperand
and tax revenues, EconomicOperand
trade fluctuations and defaults, EconomicOperand
transmission from banking sector, EconomicOperand
transmission of stress to banks, EconomicOperand
Soviet Union, EconomicOperand
Spain:, EconomicOperand
collusive behaviour among banks, EconomicOperand
competition-fragility, EconomicOperand
credit crunch , EconomicOperand
dynamic provisioning, EconomicOperand
effects of higher capital requirements, EconomicOperand
local loan markets, EconomicOperand
number of bank branches, EconomicOperand
public credit registries, EconomicOperand
sovereign debt crisis,,,, EconomicOperand
universal bank losses, EconomicOperand
special capital account, EconomicOperand
special investment vehicles see structured investment vehicles (SIVs), EconomicOperand
special purpose vehicles (SPVs),,,, EconomicOperand
and bankruptcy-remote structures, EconomicOperand
creation, EconomicOperand
and G-SIBS, EconomicOperand
Sri Lanka, EconomicOperand
SSM see single supervisory mechanism, EconomicOperand
stable funding, EconomicOperand
Standard Bank, South Africa,, EconomicOperand
Standard Chartered,, EconomicOperand
standing facilities see discount windows, EconomicOperand
State Bank of India (SBI), EconomicOperand
State Bank of India Act , EconomicOperand
State Street Corporation,, EconomicOperand
state’s role in funding and development, EconomicOperand
bank-based/market-based financial systems, EconomicOperand
bank competition policies, EconomicOperand
contestability and efficiency, EconomicOperand
credit guarantee schemes, EconomicOperand
credit information,,, EconomicOperand
deposit insurance, EconomicOperand
deregulation, EconomicOperand
facilitating access, EconomicOperand
finance, income distribution and poverty, evidence, EconomicOperand
finance and growth, EconomicOperand
government ownership of financial institutions, EconomicOperand
impact of foreign entry, EconomicOperand
incentive-compatible regulation, EconomicOperand
information asymmetries, EconomicOperand
information disclosure, EconomicOperand
information infrastructures, EconomicOperand
institutional structure and growth, EconomicOperand
legal and information structure, EconomicOperand
liberalization, development and the sequencing of reforms, EconomicOperand
microfinance,, EconomicOperand
political and macroeconomic environment, EconomicOperand
poverty and access to finance, EconomicOperand
regulation and supervision,,, EconomicOperand
and state-owned banks, EconomicOperand
state-owned banks,,, EconomicOperand
and competition, EconomicOperand
state-owned commercial banks (SOCBs),,,,,,, EconomicOperand
Stiroh, Kevin J.,, EconomicOperand
stochastic frontier,,, EconomicOperand
stock market crash , EconomicOperand
stress testing,,, EconomicOperand
structural demand models, EconomicOperand
structure-conduct performance (SCP) model, EconomicOperand
structured early intervention and resolution (SEIR), EconomicOperand
structured investment vehicles (SIVs),,,,n,,, EconomicOperand
structured securitization,, EconomicOperand
