This	B-T2	O	O	
office	I-C	I-A1	I-A2	
,	I-C	I-A1	I-A2	
and	I-C	I-A1	I-A2	
whose	I-C	I-A1	I-A2	
assets	I-C	I-A1	I-A2	
as	I-C	I-A1	I-A2	
to	I-C	I-A1	I-A2	
which	I-C	I-A1	I-A2	
the	I-C	I-A1	I-A2	
family	I-C	I-A1	I-A2	
office	I-C	I-A1	I-A2	
directly	I-C	I-A1	I-A2	
or	I-C	I-A1	I-A2	
indirectly	I-C	I-A1	I-A2	
provides	I-C	I-A1	I-A2	
investment	I-C	I-A1	I-A2	
advice	I-C	I-A1	I-A2	
represent	I-C	I-A1	I-A2	
,	I-C	I-A1	I-A2	
in	I-C	I-A1	I-A2	
the	I-C	I-A1	I-A2	
aggregate	I-C	I-A1	I-A2	
,	I-C	I-A1	I-A2	
not	I-C	I-A1	I-A2	
more	I-C	I-A1	I-A2	
than	I-C	I-A1	I-A2	
5	I-C	I-A1	I-A2	
percent	I-C	I-A1	I-A2	
of	I-C	I-A1	I-A2	
the	I-C	I-A1	I-A2	
value	I-C	I-A1	I-A2	
of	I-C	I-A1	I-A2	
the	I-C	I-A1	I-A2	
total	I-C	I-A1	I-A2	
assets	I-C	I-A1	I-A2	
as	I-C	I-A1	I-A2	
to	I-C	I-A1	I-A2	
which	I-C	I-A1	I-A2	
the	I-C	I-A1	I-A2	
family	I-C	I-A1	I-A2	
office	I-C	I-A1	I-A2	
provides	I-C	I-A1	I-A2	
investment	I-C	I-A1	I-A2	
advice	I-C	I-A1	I-A2	
.	O	O	O	
A	B-T3	O	O	
family	I-T3	O	O	
office	I-T3	O	O	
that	B-A1	O	O	
would	I-A1	O	O	
not	I-A1	O	O	
be	I-A1	O	O	
a	I-A1	O	O	
family	I-A1	O	O	
office	I-A1	O	O	
,	I-A1	O	O	
but	I-A1	O	O	
for	I-A1	O	O	
subsection	I-A1	O	O	
-LRB-	I-A1	O	O	
b	I-A1	O	O	
-RRB-	I-A1	O	O	
-LRB-	I-A1	O	O	
3	I-A1	O	O	
-RRB-	I-A1	O	O	
,	I-A1	O	O	
shall	B-C	O	O	
be	I-C	O	O	
deemed	I-C	O	O	
to	I-C	O	O	
be	I-C	O	O	
an	I-C	B-T1	O	
investment	I-C	I-T1	O	
adviser	I-C	I-T1	O	
for	I-C	B-A1	O	
the	I-C	I-A1	O	
purposes	I-C	I-A1	O	
of	I-C	I-A1	O	
paragraphs	I-C	I-A1	O	
-LRB-	I-C	I-A1	O	
1	I-C	I-A1	O	
-RRB-	I-C	I-A1	O	
,	I-C	I-A1	O	
-LRB-	I-C	I-A1	O	
2	I-C	I-A1	O	
-RRB-	I-C	I-A1	O	
and	I-C	I-A1	O	
-LRB-	I-C	I-A1	O	
4	I-C	I-A1	O	
-RRB-	I-C	I-A1	O	
of	I-C	I-A1	O	
section	I-C	I-A1	O	
206	I-C	I-A1	O	
of	I-C	I-A1	O	
the	I-C	I-A1	O	
Investment	I-C	I-A1	O	
Advisers	I-C	I-A1	O	
Act	I-C	I-A1	O	
of	I-C	I-A1	O	
1940	I-C	I-A1	O	
.	O	O	O	
Section	B-T3	O	O	
203A	I-T3	O	O	
-LRB-	I-T3	O	O	
a	I-T3	O	O	
-RRB-	I-T3	O	O	
of	B-A1	O	O	
the	I-A1	O	O	
of	I-A1	O	O	
the	I-A1	O	O	
Investment	I-A1	O	O	
Advisers	I-A1	O	O	
Act	I-A1	O	O	
of	I-A1	O	O	
1940	I-A1	O	O	
-LRB-	I-A1	O	O	
15	I-A1	O	O	
U.S.C.	I-A1	O	O	
80b-3a	I-A1	O	O	
-LRB-	I-A1	O	O	
a	I-A1	O	O	
-RRB-	I-A1	O	O	
-RRB-	I-A1	O	O	
is	B-C	O	O	
amended	I-C	O	O	
-LRB-	B-A1	O	O	
1	I-A1	O	O	
-RRB-	I-A1	O	O	
by	I-A1	O	O	
redesignating	I-A1	O	O	
paragraph	I-A1	O	O	
-LRB-	I-A1	O	O	
2	I-A1	O	O	
-RRB-	I-A1	O	O	
as	I-A1	O	O	
paragraph	I-A1	O	O	
-LRB-	I-A1	O	O	
3	I-A1	O	O	
-RRB-	I-A1	O	O	
;	I-A1	O	O	
and	I-A1	O	O	
-LRB-	I-A1	O	O	
2	I-A1	O	O	
-RRB-	I-A1	O	O	
by	I-A1	O	O	
inserting	I-A1	O	O	
after	I-A1	O	O	
paragraph	I-A1	O	O	
-LRB-	I-A1	O	O	
1	I-A1	O	O	
-RRB-	I-A1	O	O	
the	I-A1	O	O	
following	I-A1	O	O	
:	I-A1	O	O	
No	B-T3	O	O	
investment	I-T3	O	O	
adviser	I-T3	O	O	
described	B-A1	O	O	
in	I-A1	O	O	
subparagraph	I-A1	O	O	
-LRB-	I-A1	O	O	
B	I-A1	O	O	
-RRB-	I-A1	O	O	
shall	B-C	O	O	
register	I-C	O	O	
under	I-C	O	O	
section	I-C	O	O	
203	I-C	O	O	
,	I-C	O	O	
unless	B-A1	O	O	
the	I-A1	B-T1	O	
investment	I-A1	I-T1	O	
adviser	I-A1	I-T1	O	
is	I-A1	B-A2	O	
an	I-A1	I-A2	O	
adviser	I-A1	I-A2	O	
to	I-A1	I-A2	O	
an	I-A1	I-A2	B-T1	
investment	I-A1	I-A2	I-T1	
company	I-A1	I-A2	I-T1	
registered	I-A1	I-A2	B-A3	
under	I-A1	I-A2	I-A3	
the	I-A1	I-A2	I-A3	
Investment	I-A1	I-A2	I-A3	
Company	I-A1	I-A2	I-A3	
Act	I-A1	I-A2	I-A3	
of	I-A1	I-A2	I-A3	
1940	I-A1	I-A2	I-A3	
,	I-A1	I-A2	I-A3	
or	I-A1	I-A2	O	
a	I-A1	I-A2	B-T1	
company	I-A1	I-A2	I-T1	
which	I-A1	I-A2	B-A3	
has	I-A1	I-A2	I-A3	
elected	I-A1	I-A2	I-A3	
to	I-A1	I-A2	I-A3	
be	I-A1	I-A2	I-A3	
a	I-A1	I-A2	I-A3	
business	I-A1	I-A2	I-A3	
development	I-A1	I-A2	I-A3	
company	I-A1	I-A2	I-A3	
pursuant	I-A1	I-A2	I-A3	
to	I-A1	I-A2	I-A3	
section	I-A1	I-A2	I-A3	
54	I-A1	I-A2	I-A3	
of	I-A1	I-A2	I-A3	
the	I-A1	I-A2	I-A3	
Investment	I-A1	I-A2	I-A3	
Company	I-A1	I-A2	I-A3	
Act	I-A1	I-A2	I-A3	
of	I-A1	I-A2	I-A3	
1940	I-A1	I-A2	I-A3	
,	I-A1	I-A2	I-A3	
and	I-A1	I-A2	O	
has	I-A1	I-A2	O	
not	I-A1	I-A2	O	
withdrawn	I-A1	I-A2	O	
the	I-A1	I-A2	O	
election	I-A1	I-A2	O	
,	I-A1	I-A2	O	
except	I-A1	O	O	
that	I-A1	O	O	
,	I-A1	O	O	
if	I-A1	O	O	
by	I-A1	O	O	
effect	I-A1	O	O	
of	I-A1	O	O	
this	I-A1	O	O	
paragraph	I-A1	O	O	
an	I-A1	O	O	
investment	I-A1	O	O	
adviser	I-A1	O	O	
would	I-A1	O	O	
be	I-A1	O	O	
required	I-A1	O	O	
to	I-A1	O	O	
register	I-A1	O	O	
with	I-A1	O	O	
15	I-A1	O	O	
or	I-A1	O	O	
more	I-A1	O	O	
States	I-A1	O	O	
,	I-A1	O	O	
then	B-T3	O	O	
the	I-T3	O	O	
adviser	I-T3	O	O	
may	B-C	O	O	
register	I-C	O	O	
under	I-C	O	O	
section	I-C	O	O	
203	I-C	O	O	
.	O	O	O	
An	B-EL	O	O	
investment	I-EL	O	O	
adviser	I-EL	O	O	
described	B-A1	O	O	
in	I-A1	O	O	
this	I-A1	O	O	
subparagraph	I-A1	O	O	
is	B-ER	O	O	
an	I-ER	B-T1	O	
investment	I-ER	I-T1	O	
adviser	I-ER	I-T1	O	
that	I-ER	B-A1	O	
-LRB-	I-ER	I-A1	O	
i	I-ER	I-A1	O	
-RRB-	I-ER	I-A1	O	
is	I-ER	I-A1	O	
required	I-ER	I-A1	O	
to	I-ER	I-A1	O	
be	I-ER	I-A1	O	
registered	I-ER	I-A1	O	
as	I-ER	I-A1	O	
an	I-ER	I-A1	O	
investment	I-ER	I-A1	O	
adviser	I-ER	I-A1	O	
with	I-ER	I-A1	O	
the	I-ER	I-A1	O	
securities	I-ER	I-A1	O	
commissioner	I-ER	I-A1	O	
-LRB-	I-ER	I-A1	O	
or	I-ER	I-A1	O	
any	I-ER	I-A1	O	
agency	I-ER	I-A1	O	
or	I-ER	I-A1	O	
office	I-ER	I-A1	O	
performing	I-ER	I-A1	O	
like	I-ER	I-A1	O	
functions	I-ER	I-A1	O	
-RRB-	I-ER	I-A1	O	
of	I-ER	I-A1	O	
the	I-ER	I-A1	B-T1	
State	I-ER	I-A1	I-T1	
in	I-ER	I-A1	B-A2	
which	I-ER	I-A1	I-A2	
it	I-ER	I-A1	I-A2	
maintains	I-ER	I-A1	I-A2	
its	I-ER	I-A1	I-A2	
principal	I-ER	I-A1	I-A2	
office	I-ER	I-A1	I-A2	
and	I-ER	I-A1	I-A2	
place	I-ER	I-A1	I-A2	
of	I-ER	I-A1	I-A2	
business	I-ER	I-A1	I-A2	
and	I-ER	I-A1	O	
,	I-ER	I-A1	O	
if	I-ER	I-A1	B-A2	
registered	I-ER	I-A1	I-A2	
,	I-ER	I-A1	I-A2	
would	I-ER	I-A1	O	
be	I-ER	I-A1	O	
subject	I-ER	I-A1	O	
to	I-ER	I-A1	O	
examination	I-ER	I-A1	O	
as	I-ER	I-A1	O	
an	I-ER	I-A1	O	
investment	I-ER	I-A1	O	
adviser	I-ER	I-A1	O	
by	I-ER	I-A1	O	
any	I-ER	I-A1	O	
such	I-ER	I-A1	O	
commissioner	I-ER	I-A1	O	
,	I-ER	I-A1	O	
agency	I-ER	I-A1	O	
,	I-ER	I-A1	O	
or	I-ER	I-A1	O	
office	I-ER	I-A1	O	
;	I-ER	I-A1	O	
and	I-ER	I-A1	O	
-LRB-	I-ER	I-A1	O	
ii	I-ER	I-A1	O	
-RRB-	I-ER	I-A1	O	
has	I-ER	I-A1	O	
assets	I-ER	I-A1	B-T1	
under	I-ER	I-A1	I-T1	
management	I-ER	I-A1	I-T1	
between	I-ER	I-A1	B-A2	
-LRB-	I-ER	I-A1	I-A2	
I	I-ER	I-A1	I-A2	
-RRB-	I-ER	I-A1	I-A2	
the	I-ER	I-A1	I-A2	
amount	I-ER	I-A1	I-A2	
specified	I-ER	I-A1	I-A2	
under	I-ER	I-A1	I-A2	
subparagraph	I-ER	I-A1	I-A2	
-LRB-	I-ER	I-A1	I-A2	
A	I-ER	I-A1	I-A2	
-RRB-	I-ER	I-A1	I-A2	
of	I-ER	I-A1	I-A2	
paragraph	I-ER	I-A1	I-A2	
-LRB-	I-ER	I-A1	I-A2	
1	I-ER	I-A1	I-A2	
-RRB-	I-ER	I-A1	I-A2	
,	I-ER	I-A1	I-A2	
as	I-ER	I-A1	I-A2	
such	I-ER	I-A1	I-A2	
amount	I-ER	I-A1	I-A2	
may	I-ER	I-A1	I-A2	
have	I-ER	I-A1	I-A2	
been	I-ER	I-A1	I-A2	
adjusted	I-ER	I-A1	I-A2	
by	I-ER	I-A1	I-A2	
the	I-ER	I-A1	I-A2	
Commission	I-ER	I-A1	I-A2	
pursuant	I-ER	I-A1	I-A2	
to	I-ER	I-A1	I-A2	
that	I-ER	I-A1	I-A2	
subparagraph	I-ER	I-A1	I-A2	
;	I-ER	I-A1	I-A2	
and	I-ER	I-A1	I-A2	
-LRB-	I-ER	I-A1	I-A2	
II	I-ER	I-A1	I-A2	
-RRB-	I-ER	I-A1	I-A2	
USD100000000	I-ER	I-A1	I-A2	
,	I-ER	I-A1	I-A2	
or	I-ER	I-A1	I-A2	
such	I-ER	I-A1	I-A2	
higher	I-ER	I-A1	I-A2	
amount	I-ER	I-A1	I-A2	
as	I-ER	I-A1	I-A2	
the	I-ER	I-A1	I-A2	
Commission	I-ER	I-A1	I-A2	
may	I-ER	I-A1	I-A2	
,	I-ER	I-A1	I-A2	
by	I-ER	I-A1	I-A2	
rule	I-ER	I-A1	I-A2	
,	I-ER	I-A1	I-A2	
deem	I-ER	I-A1	I-A2	
appropriate	I-ER	I-A1	I-A2	
in	I-ER	I-A1	I-A2	
accordance	I-ER	I-A1	I-A2	
with	I-ER	I-A1	I-A2	
the	I-ER	I-A1	I-A2	
purposes	I-ER	I-A1	I-A2	
of	I-ER	I-A1	I-A2	
this	I-ER	I-A1	I-A2	
title	I-ER	I-A1	I-A2	
.	O	O	O	
The	B-T2	O	O	
Investment	I-T2	O	O	
Advisers	I-T2	O	O	
Act	I-T2	O	O	
of	I-T2	O	O	
1940	I-T2	O	O	
-LRB-	I-T2	O	O	
15	I-T2	O	O	
U.S.C.	I-T2	O	O	
80b-1	I-T2	O	O	
et	I-T2	O	O	
seq.	I-T2	O	O	
-RRB-	I-T2	O	O	
is	B-C	O	O	
amended	I-C	O	O	
by	B-A1	O	O	
adding	I-A1	O	O	
at	I-A1	O	O	
the	I-A1	O	O	
end	I-A1	O	O	
the	I-A1	O	O	
following	I-A1	O	O	
new	I-A1	O	O	
section	I-A1	O	O	
:	I-A1	O	O	
An	B-T3	O	O	
investment	I-T3	O	O	
adviser	I-T3	O	O	
registered	B-A1	O	O	
under	I-A1	O	O	
this	I-A1	O	O	
title	I-A1	O	O	
shall	B-C	O	O	
take	I-C	O	O	
such	I-C	O	O	
steps	I-C	O	O	
to	I-C	O	O	
safeguard	I-C	O	O	
client	I-C	B-T1	O	
assets	I-C	I-T1	O	
over	I-C	B-A1	O	
which	I-C	I-A1	O	
such	I-C	I-A1	O	
adviser	I-C	I-A1	O	
has	I-C	I-A1	O	
custody	I-C	I-A1	O	
,	I-C	I-A1	O	
including	I-C	O	O	
,	I-C	O	O	
without	I-C	O	O	
limitation	I-C	O	O	
,	I-C	O	O	
verification	I-C	O	O	
of	I-C	O	O	
such	I-C	O	O	
assets	I-C	O	O	
by	I-C	O	O	
an	I-C	O	O	
independent	I-C	O	O	
public	I-C	O	O	
accountant	I-C	O	O	
,	I-C	O	O	
as	I-C	B-A1	O	
the	I-C	I-A1	O	
Commission	I-C	I-A1	O	
may	I-C	I-A1	O	
,	I-C	I-A1	O	
by	I-C	I-A1	O	
rule	I-C	I-A1	O	
,	I-C	I-A1	O	
prescribe	I-C	I-A1	O	
.	O	O	O	
The	B-T2	O	O	
Comptroller	I-T2	O	O	
General	I-T2	O	O	
of	I-T2	O	O	
the	I-T2	O	O	
United	I-T2	O	O	
States	I-T2	O	O	
shall	B-C	O	O	
-LRB-	I-C	O	O	
1	I-C	O	O	
-RRB-	I-C	O	O	
conduct	I-C	O	O	
a	I-C	B-T1	O	
study	I-C	I-T1	O	
of	I-C	B-A1	O	
-LRB-	I-C	I-A1	O	
A	I-C	I-A1	O	
-RRB-	I-C	I-A1	O	
the	I-C	I-A1	B-T1	
compliance	I-C	I-A1	I-T1	
costs	I-C	I-A1	I-T1	
associated	I-C	I-A1	B-A2	
with	I-C	I-A1	I-A2	
the	I-C	I-A1	I-A2	
current	I-C	I-A1	I-A2	
Securities	I-C	I-A1	I-A2	
and	I-C	I-A1	I-A2	
Exchange	I-C	I-A1	I-A2	
Commission	I-C	I-A1	I-A2	
rules	I-C	I-A1	I-A2	
204-2	I-C	I-A1	I-A2	
-LRB-	I-C	I-A1	I-A2	
17	I-C	I-A1	I-A2	
C.F.R.	I-C	I-A1	I-A2	
Parts	I-C	I-A1	I-A2	
275.204-2	I-C	I-A1	I-A2	
-RRB-	I-C	I-A1	I-A2	
and	I-C	I-A1	I-A2	
rule	I-C	I-A1	I-A2	
206	I-C	I-A1	I-A2	
-LRB-	I-C	I-A1	I-A2	
4	I-C	I-A1	I-A2	
-RRB-	I-C	I-A1	I-A2	
-2	I-C	I-A1	I-A2	
-LRB-	I-C	I-A1	I-A2	
17	I-C	I-A1	I-A2	
C.F.R.	I-C	I-A1	I-A2	
275.206	I-C	I-A1	I-A2	
-LRB-	I-C	I-A1	I-A2	
4	I-C	I-A1	I-A2	
-RRB-	I-C	I-A1	I-A2	
-2	I-C	I-A1	I-A2	
-RRB-	I-C	I-A1	I-A2	
under	I-C	I-A1	I-A2	
the	I-C	I-A1	I-A2	
Investment	I-C	I-A1	I-A2	
Advisers	I-C	I-A1	I-A2	
Act	I-C	I-A1	I-A2	
of	I-C	I-A1	I-A2	
1940	I-C	I-A1	I-A2	
regarding	I-C	I-A1	I-A2	
custody	I-C	I-A1	I-A2	
of	I-C	I-A1	I-A2	
funds	I-C	I-A1	I-A2	
or	I-C	I-A1	I-A2	
securities	I-C	I-A1	I-A2	
of	I-C	I-A1	I-A2	
clients	I-C	I-A1	I-A2	
by	I-C	I-A1	I-A2	
investment	I-C	I-A1	I-A2	
advisers	I-C	I-A1	I-A2	
;	I-C	I-A1	I-A2	
and	I-C	I-A1	O	
-LRB-	I-C	I-A1	O	
B	I-C	I-A1	O	
-RRB-	I-C	I-A1	O	
the	I-C	I-A1	O	
additional	I-C	I-A1	O	
costs	I-C	I-A1	O	
if	I-C	I-A1	O	
subsection	I-C	I-A1	O	
-LRB-	I-C	I-A1	O	
b	I-C	I-A1	O	
-RRB-	I-C	I-A1	O	
-LRB-	I-C	I-A1	O	
6	I-C	I-A1	O	
-RRB-	I-C	I-A1	O	
of	I-C	I-A1	O	
rule	I-C	I-A1	O	
206	I-C	I-A1	O	
-LRB-	I-C	I-A1	O	
4	I-C	I-A1	O	
-RRB-	I-C	I-A1	O	
-2	I-C	I-A1	O	
-LRB-	I-C	I-A1	O	
17	I-C	I-A1	O	
C.F.R.	I-C	I-A1	O	
275.206	I-C	I-A1	O	
-LRB-	I-C	I-A1	O	
4	I-C	I-A1	O	
-RRB-	I-C	I-A1	O	
-2	I-C	I-A1	O	
-LRB-	I-C	I-A1	O	
b	I-C	I-A1	O	
-RRB-	I-C	I-A1	O	
-LRB-	I-C	I-A1	O	
6	I-C	I-A1	O	
-RRB-	I-C	I-A1	O	
-RRB-	I-C	I-A1	O	
relating	I-C	I-A1	O	
to	I-C	I-A1	O	
operational	I-C	I-A1	O	
independence	I-C	I-A1	O	
were	I-C	I-A1	O	
eliminated	I-C	I-A1	O	
;	I-C	I-A1	O	
and	I-C	O	O	
-LRB-	I-C	O	O	
2	I-C	O	O	
-RRB-	I-C	O	O	
submit	I-C	O	O	
a	I-C	O	O	
report	I-C	O	O	
to	I-C	O	O	
the	I-C	O	O	
Committee	I-C	O	O	
on	I-C	O	O	
Banking	I-C	O	O	
,	I-C	O	O	
Housing	I-C	O	O	
,	I-C	O	O	
and	I-C	O	O	
Urban	I-C	O	O	
Affairs	I-C	O	O	
of	I-C	O	O	
the	I-C	O	O	
Senate	I-C	O	O	
and	I-C	O	O	
the	I-C	O	O	
Committee	I-C	O	O	
on	I-C	O	O	
Financial	I-C	O	O	
Services	I-C	O	O	
of	I-C	O	O	
the	I-C	O	O	
House	I-C	O	O	
of	I-C	O	O	
Representatives	I-C	O	O	
on	I-C	O	O	
the	I-C	O	O	
results	I-C	O	O	
of	I-C	O	O	
such	I-C	O	O	
study	I-C	O	O	
,	I-C	O	O	
not	I-C	B-A1	O	
later	I-C	I-A1	O	
than	I-C	I-A1	O	
3	I-C	I-A1	O	
years	I-C	I-A1	O	
after	I-C	I-A1	O	
the	I-C	I-A1	O	
date	I-C	I-A1	O	
of	I-C	I-A1	O	
enactment	I-C	I-A1	O	
of	I-C	I-A1	O	
this	I-C	I-A1	O	
Act	I-C	I-A1	O	
.	O	O	O	
The	B-T2	O	O	
Commission	I-T2	O	O	
shall	B-C	O	O	
adjust	I-C	O	O	
any	I-C	O	O	
net	I-C	O	O	
worth	I-C	O	O	
standard	I-C	O	O	
for	I-C	O	O	
an	I-C	O	O	
accredited	I-C	O	O	
investor	I-C	O	O	
,	I-C	O	O	
as	B-A1	O	O	
set	I-A1	O	O	
forth	I-A1	O	O	
in	I-A1	O	O	
the	I-A1	O	O	
rules	I-A1	O	O	
of	I-A1	O	O	
the	I-A1	O	O	
Commission	I-A1	O	O	
under	I-A1	O	O	
the	I-A1	O	O	
Securities	I-A1	O	O	
Act	I-A1	O	O	
of	I-A1	O	O	
1933	I-A1	O	O	
,	I-A1	O	O	
so	I-A1	O	O	
that	I-A1	O	O	
the	I-A1	B-T1	O	
individual	I-A1	I-T1	O	
net	I-A1	I-T1	O	
worth	I-A1	I-T1	O	
of	I-A1	B-A2	O	
any	I-A1	I-A2	O	
natural	I-A1	I-A2	O	
person	I-A1	I-A2	O	
,	I-A1	I-A2	O	
or	I-A1	I-A2	O	
joint	I-A1	I-A2	O	
net	I-A1	I-A2	O	
worth	I-A1	I-A2	O	
with	I-A1	I-A2	O	
the	I-A1	I-A2	O	
spouse	I-A1	I-A2	O	
of	I-A1	I-A2	O	
that	I-A1	I-A2	O	
person	I-A1	I-A2	O	
,	I-A1	I-A2	O	
at	I-A1	I-A2	O	
the	I-A1	I-A2	O	
time	I-A1	I-A2	O	
of	I-A1	I-A2	O	
purchase	I-A1	I-A2	O	
,	I-A1	I-A2	O	
is	I-A1	O	O	
more	I-A1	O	O	
than	I-A1	O	O	
USD1000000	I-A1	O	O	
-LRB-	I-A1	B-A2	O	
as	I-A1	I-A2	O	
such	I-A1	I-A2	O	
amount	I-A1	I-A2	O	
is	I-A1	I-A2	O	
adjusted	I-A1	I-A2	O	
periodically	I-A1	I-A2	O	
by	I-A1	I-A2	O	
rule	I-A1	I-A2	O	
of	I-A1	I-A2	O	
the	I-A1	I-A2	O	
Commission	I-A1	I-A2	O	
-RRB-	I-A1	I-A2	O	
,	I-A1	I-A2	O	
excluding	I-A1	O	O	
the	I-A1	O	O	
value	I-A1	O	O	
of	I-A1	O	O	
the	I-A1	O	O	
primary	I-A1	O	O	
residence	I-A1	O	O	
of	I-A1	O	O	
such	I-A1	O	O	
natural	I-A1	O	O	
person	I-A1	O	O	
,	I-A1	O	O	
except	I-A1	O	O	
that	I-A1	O	O	
during	I-A1	O	O	
the	I-A1	O	O	
4-	I-A1	O	O	
year	I-A1	O	O	
period	I-A1	O	O	
that	I-A1	O	O	
begins	I-A1	O	O	
on	I-A1	O	O	
the	I-A1	O	O	
date	I-A1	O	O	
of	I-A1	O	O	
enactment	I-A1	O	O	
of	I-A1	O	O	
this	I-A1	O	O	
Act	I-A1	O	O	
,	I-A1	O	O	
any	B-T3	O	O	
net	I-T3	O	O	
worth	I-T3	O	O	
standard	I-T3	O	O	
shall	B-C	O	O	
be	I-C	O	O	
USD1000000	I-C	O	O	
,	I-C	O	O	
excluding	B-A1	O	O	
the	I-A1	B-T1	O	
value	I-A1	I-T1	O	
of	I-A1	B-A2	O	
the	I-A1	I-A2	B-T1	
primary	I-A1	I-A2	I-T1	
residence	I-A1	I-A2	I-T1	
of	I-A1	I-A2	B-A3	
such	I-A1	I-A2	I-A3	
natural	I-A1	I-A2	I-A3	
person	I-A1	I-A2	I-A3	
.	O	O	O	
The	B-T2	O	O	
Commission	I-T2	O	O	
may	B-C	O	O	
undertake	I-C	O	O	
a	I-C	O	O	
review	I-C	O	O	
of	I-C	O	O	
the	I-C	O	O	
definition	I-C	O	O	
of	I-C	O	O	
the	I-C	O	O	
term	I-C	O	O	
accredited	I-C	O	O	
investor	I-C	O	O	
,	I-C	O	O	
as	B-A1	O	O	
such	I-A1	O	O	
term	I-A1	O	O	
applies	I-A1	O	O	
to	I-A1	O	O	
natural	I-A1	O	O	
persons	I-A1	O	O	
,	I-A1	O	O	
to	I-A1	O	O	
determine	I-A1	O	O	
whether	I-A1	O	O	
the	I-A1	O	O	
requirements	I-A1	O	O	
of	I-A1	O	O	
the	I-A1	O	O	
definition	I-A1	O	O	
,	I-A1	O	O	
excluding	I-A1	B-A2	O	
the	I-A1	I-A2	O	
requirement	I-A1	I-A2	O	
relating	I-A1	I-A2	O	
to	I-A1	I-A2	O	
the	I-A1	I-A2	O	
net	I-A1	I-A2	O	
worth	I-A1	I-A2	O	
standard	I-A1	I-A2	O	
described	I-A1	I-A2	O	
in	I-A1	I-A2	O	
subsection	I-A1	I-A2	O	
-LRB-	I-A1	I-A2	O	
a	I-A1	I-A2	O	
-RRB-	I-A1	I-A2	O	
,	I-A1	I-A2	O	
should	I-A1	O	O	
be	I-A1	O	O	
adjusted	I-A1	O	O	
or	I-A1	O	O	
modified	I-A1	O	O	
for	I-A1	O	O	
the	I-A1	O	O	
protection	I-A1	O	O	
of	I-A1	O	O	
investors	I-A1	O	O	
,	I-A1	O	O	
in	I-A1	O	O	
the	I-A1	O	O	
public	I-A1	O	O	
interest	I-A1	O	O	
,	I-A1	O	O	
and	I-A1	O	O	
in	I-A1	O	O	
light	I-A1	O	O	
of	I-A1	O	O	
the	I-A1	O	O	
economy	I-A1	O	O	
.	O	O	O	
Upon	I-A1	O	O	
completion	I-A1	O	O	
of	I-A1	O	O	
a	I-A1	O	O	
review	I-A1	O	O	
under	I-A1	O	O	
subparagraph	I-A1	O	O	
-LRB-	I-A1	O	O	
A	I-A1	O	O	
-RRB-	I-A1	O	O	
,	I-A1	O	O	
the	B-T2	O	O	
Commission	I-T2	O	O	
may	B-C	O	O	
,	I-C	O	O	
by	I-C	B-A1	O	
notice	I-C	I-A1	O	
and	I-C	I-A1	O	
comment	I-C	I-A1	O	
rulemaking	I-C	I-A1	O	
,	I-C	I-A1	O	
make	I-C	O	O	
such	I-C	O	O	
adjustments	I-C	O	O	
to	I-C	O	O	
the	I-C	O	O	
definition	I-C	O	O	
of	I-C	O	O	
the	I-C	O	O	
term	I-C	O	O	
accredited	I-C	O	O	
investor	I-C	O	O	
,	I-C	O	O	
excluding	I-C	B-A1	O	
adjusting	I-C	I-A1	O	
or	I-C	I-A1	O	
modifying	I-C	I-A1	O	
the	I-C	I-A1	B-T1	
requirement	I-C	I-A1	I-T1	
relating	I-C	I-A1	B-A2	
to	I-C	I-A1	I-A2	
the	I-C	I-A1	I-A2	
net	I-C	I-A1	I-A2	
worth	I-C	I-A1	I-A2	
standard	I-C	I-A1	I-A2	
described	I-C	I-A1	I-A2	
in	I-C	I-A1	I-A2	
subsection	I-C	I-A1	I-A2	
-LRB-	I-C	I-A1	I-A2	
a	I-C	I-A1	I-A2	
-RRB-	I-C	I-A1	I-A2	
,	I-C	I-A1	I-A2	
as	I-C	I-A1	O	
such	I-C	I-A1	O	
term	I-C	I-A1	O	
applies	I-C	I-A1	O	
to	I-C	I-A1	O	
natural	I-C	I-A1	O	
persons	I-C	I-A1	O	
,	I-C	I-A1	O	
as	I-C	I-A1	O	
the	I-C	I-A1	O	
Commission	I-C	I-A1	O	
may	I-C	I-A1	O	
deem	I-C	I-A1	O	
appropriate	I-C	I-A1	O	
for	I-C	I-A1	O	
the	I-C	I-A1	O	
protection	I-C	I-A1	O	
of	I-C	I-A1	O	
investors	I-C	I-A1	O	
,	I-C	I-A1	O	
in	I-C	I-A1	O	
the	I-C	I-A1	O	
public	I-C	I-A1	O	
interest	I-C	I-A1	O	
,	I-C	I-A1	O	
and	I-C	I-A1	O	
in	I-C	I-A1	O	
light	I-C	I-A1	O	
of	I-C	I-A1	O	
the	I-C	I-A1	O	
economy	I-C	I-A1	O	
.	O	O	O	
Not	B-A1	O	O	
earlier	I-A1	O	O	
than	I-A1	O	O	
4	I-A1	O	O	
years	I-A1	O	O	
after	I-A1	O	O	
the	I-A1	O	O	
date	I-A1	O	O	
of	I-A1	O	O	
enactment	I-A1	O	O	
of	I-A1	O	O	
this	I-A1	O	O	
Act	I-A1	O	O	
,	I-A1	O	O	
and	I-A1	O	O	
not	I-A1	O	O	
less	I-A1	O	O	
frequently	I-A1	O	O	
than	I-A1	O	O	
once	I-A1	O	O	
every	I-A1	O	O	
4	I-A1	O	O	
years	I-A1	O	O	
thereafter	I-A1	O	O	
,	I-A1	O	O	
